NAMES	col1  	col2	col3	col4	col5	col6	col7
YLR380W	1.58	0.87	0.52	-0.57	-0.61	-0.13	-1.66
YMR310C	1.53	0.47	0.66	-0.64	-0.55	0.32	-1.79
YOR271C	1.25	0.77	0.93	-0.83	-0.84	0.30	-1.58
YPL256C	1.06	0.94	0.42	-0.13	-0.51	0.33	-2.11
YBR247C	1.01	0.80	0.96	-0.28	-0.11	-0.31	-2.06
YBR267W	1.35	0.70	1.15	-0.51	-0.80	-0.35	-1.54
YCLX02C	1.07	1.32	0.69	-0.39	-0.39	-0.54	-1.75
YCR058C	0.81	1.64	0.56	-0.29	-0.28	-0.92	-1.53
YDL151c	1.06	1.53	0.42	-0.17	-0.40	-0.92	-1.53
YDR384C	1.32	1.07	0.79	-0.16	-0.82	-0.65	-1.54
YDR465C	1.06	1.03	1.09	-0.24	-0.49	-0.80	-1.64
YFL022C	1.25	1.27	0.62	-0.24	-0.52	-0.85	-1.54
YGR159C	1.16	0.97	1.04	-0.50	-0.54	-0.41	-1.71
YGR280C	1.23	1.02	0.85	-0.66	-0.21	-0.53	-1.72
YHR206W	1.64	1.23	0.23	-0.57	-0.62	-0.60	-1.30
YIL019W	1.38	0.57	1.25	-0.36	-1.21	-0.45	-1.18
YIL065C	1.30	0.88	0.66	-0.19	-0.10	-0.64	-1.91
YJL194W	1.90	0.88	-0.07	-0.51	-0.39	-0.37	-1.44
YKR056W	1.29	0.96	0.95	-0.52	-0.31	-0.78	-1.60
YLL012W	1.55	1.18	0.29	-0.55	-0.26	-0.71	-1.50
YLR073C	1.22	0.98	1.07	-0.60	-0.29	-0.88	-1.49
YLR214W	1.70	1.04	0.41	-0.61	-0.74	-0.51	-1.30
YLR293C	1.45	0.84	0.68	-0.23	-0.29	-0.70	-1.76
YMR093W	1.25	1.19	0.67	-0.26	-0.34	-0.91	-1.60
YMR259C	1.18	1.20	0.72	-0.03	-0.63	-0.87	-1.58
YNR038W	1.51	1.10	0.54	-0.27	-0.60	-0.86	-1.43
YOL019W	1.19	1.47	0.54	-0.69	-0.64	-0.43	-1.44
YOL101C	1.03	1.13	1.16	-0.38	-0.62	-0.94	-1.37
YOR272W	1.14	0.94	1.14	-0.70	-0.70	-0.23	-1.58
YOR294W	0.95	0.93	1.33	-0.50	-0.64	-0.48	-1.60
YPL043W	1.06	0.91	1.27	-0.58	-0.51	-0.53	-1.60
YPL126W	1.12	1.17	0.82	-0.10	-0.53	-0.83	-1.65
YPR144C	1.11	1.17	0.95	-0.41	-0.33	-0.97	-1.51
YBL068W	1.49	0.84	1.04	-0.49	-0.98	-0.93	-0.96
YBR158W	1.37	1.37	0.50	-0.63	-0.44	-1.11	-1.07
YBR186W	0.30	1.85	0.90	-0.25	-0.92	-0.94	-0.94
YCR055C	0.92	1.05	1.43	-0.56	-0.82	-0.94	-1.07
YCR065w	1.42	1.31	0.51	-0.38	-0.66	-1.13	-1.08
YDL037c	0.85	1.75	0.69	-0.70	-0.80	-0.82	-0.96
YDL042C	1.69	0.93	0.54	-0.40	-0.51	-1.24	-1.01
YDL182w	1.79	0.88	0.35	-0.30	-0.42	-1.07	-1.23
YDR508C	1.59	0.99	0.61	-0.46	-0.55	-1.44	-0.74
YER145c	1.37	1.27	0.42	0.02	-0.70	-1.32	-1.05
YER165w	1.27	1.25	0.78	-0.48	-0.51	-0.99	-1.32
YGR245C	1.23	1.13	1.00	-0.46	-0.61	-1.09	-1.20
YJL069C	1.34	1.02	1.02	-0.66	-0.53	-1.15	-1.04
YLR397C	0.91	1.29	1.14	-0.65	-0.40	-1.21	-1.08
YMR108W	1.47	1.15	0.60	-0.46	-0.61	-1.44	-0.70
YMR309C	1.32	1.24	0.53	-0.23	-0.35	-1.06	-1.46
YNL124W	1.50	1.08	0.62	-0.55	-0.32	-1.00	-1.34
YNL189W	1.20	1.49	0.28	-0.13	-0.36	-1.07	-1.41
YOL007C	1.22	1.54	0.01	-0.10	-0.18	-1.17	-1.31
YOL130W	1	1.37	1.37	-0.46	-1.08	-0.31	-0.89
YAL043C	1.41	1.11	-0.11	-1.36	-0.14	-1.31	0.40
YDR006C	1.65	0.94	-0.51	-1.27	-1.16	0.42	-0.07
YHR205W	1.51	0.85	0.63	-1.21	-0.96	-1.07	0.24
YJL195C	1.72	1.26	-0.62	-0.97	-0.90	-0.55	0.07
YPL061W	1.64	0.77	0.63	-0.62	-1.37	-1.02	-0.02
YDR101C	1.15	1.01	1.08	-0.50	-0.90	-1.54	-0.29
YKL185W	1.35	1.04	0.37	-0.75	-0.47	-1.77	0.23
YNL061W	1.05	0.43	0.54	-0.58	-0.71	-1.84	1.10
YOR091W	0.63	0.76	1.01	-1.31	-0.62	-1.41	0.95
YAL003W	1.15	0.87	0.82	0.13	-0.21	-0.92	-1.83
YAL025C	1.20	0.77	0.87	0.06	0.00	-1.35	-1.54
YAL046C	1.10	0.81	1.10	-0.30	0.02	-1.12	-1.60
YAL059W	0.66	1.43	1.02	-0.17	-0.46	-0.90	-1.56
YAR071W	1.14	1.01	1.04	-0.01	-0.72	-1.02	-1.44
YAR074C	0.96	1.07	0.93	0.08	-0.22	-1.26	-1.56
YBL024W	1.25	0.72	1.01	0.05	-0.27	-1.24	-1.51
YBL039C	0.90	1.18	1.04	0.05	-0.69	-0.90	-1.56
YBR069C	1.00	0.83	1.12	-0.49	-0.87	-1.75	0.16
YBR079C	1.19	0.93	0.85	-0.08	-0.22	-0.86	-1.79
YBR089W	1.05	1.20	0.55	0.22	-0.25	-1.06	-1.71
YBR093C	0.83	0.67	1.50	0.08	-0.47	-1.31	-1.30
YBR142W	0.81	0.92	1.52	-0.41	-0.47	-1.18	-1.19
YBR238C	0.70	1.44	0.91	-0.18	-0.37	-0.86	-1.65
YBR266C	1.30	0.63	1.32	-0.33	-0.58	-1.11	-1.22
YCL046W	1.15	0.91	0.65	0.33	-0.09	-1.44	-1.50
YCL054W	1.13	0.72	1.10	-0.06	-0.31	-0.76	-1.82
YCR053w	1.32	0.97	0.85	-0.54	-0.05	-1.09	-1.45
YDL050c	0.95	0.88	1.03	0.15	-0.12	-1.35	-1.54
YDL051W	0.83	1.31	0.98	-0.04	-0.50	-1.21	-1.38
YDL052C	0.64	1.46	0.57	0.28	-0.12	-1.37	-1.46
YDL063c	1.13	1.13	0.79	-0.11	-0.31	-0.96	-1.67
YDL084w	1.00	1.12	0.65	0.13	0.02	-1.32	-1.60
YDL111c	1.22	1.03	0.82	-0.12	-0.25	-1.51	-1.19
YDL122W	0.67	1.21	0.83	0.48	-0.35	-1.30	-1.53
YDL131w	1.48	0.93	0.25	-0.55	0.42	-1.58	-0.96
YDL140C	1.08	1.39	0.62	-0.28	-0.23	-1.26	-1.33
YDL148c	0.88	0.85	1.24	-0.12	-0.27	-0.76	-1.82
YDL152w	0.70	1.19	1.16	-0.18	-0.38	-0.74	-1.74
YDL153c	1.20	0.91	1.12	-0.23	-0.51	-1.05	-1.44
YDL167C	1.02	0.94	0.85	0.08	0.06	-1.38	-1.57
YDL213c	0.87	0.83	1.20	-0.09	0.06	-1.48	-1.39
YDR024w	0.21	1.84	0.36	0.26	-0.06	-1.23	-1.37
YDR144C	1.14	0.96	0.72	0.17	-0.08	-1.31	-1.59
YDR165W	1.04	0.97	1.12	-0.10	-0.40	-1.52	-1.11
YDR206W	1.17	1.02	0.79	-0.05	-0.14	-1.51	-1.29
YDR324C	0.99	0.89	1.11	-0.01	-0.43	-0.74	-1.81
YDR341C	1.12	0.97	0.75	-0.03	0.08	-1.60	-1.29
YDR361C	0.97	0.83	1.25	0.02	-0.39	-1.18	-1.50
YDR398W	1.03	0.95	0.92	-0.01	-0.09	-1.00	-1.79
YDR492W	0.78	1.00	1.29	-0.09	-0.30	-1.22	-1.47
YDR502C	1.01	0.82	1.33	-0.09	-0.53	-1.18	-1.36
YDR527W	1.01	0.95	0.74	0.12	0.15	-1.68	-1.29
YEL033w	0.93	0.90	1.31	-0.05	-0.50	-1.23	-1.36
YEL040w	0.80	1.00	1.17	-0.08	-0.34	-0.74	-1.81
YEL046c	1.04	1.11	0.98	0.03	-0.56	-1.12	-1.47
YER002w	1.21	0.95	1.01	-0.38	-0.18	-1.45	-1.16
YER006w	1.18	0.75	1.25	-0.31	-0.31	-1.26	-1.30
YER025w	1.29	0.65	1.11	-0.11	-0.27	-1.42	-1.26
YER036c	1.19	1.26	0.58	-0.06	-0.28	-1.34	-1.33
YER043c	1.04	0.85	1.24	-0.40	-0.19	-0.93	-1.61
YER049w	0.87	1.28	0.88	0.02	-0.54	-0.80	-1.70
YER052c	0.99	0.73	1.27	0.15	-0.45	-1.22	-1.47
YER070w	0.98	0.84	1.01	0.33	-0.32	-1.58	-1.26
YER110c	0.93	0.77	1.31	0.00	-0.31	-1.50	-1.22
YGR103W	1.01	0.80	1.18	-0.08	-0.29	-0.83	-1.78
YGR123C	1.06	0.82	1.05	-0.30	-0.06	-0.71	-1.87
YGR124W	0.93	1.11	1.00	-0.06	-0.23	-1.20	-1.55
YGR145W	1.00	0.71	1.30	-0.08	-0.29	-1.03	-1.63
YGR155W	1.07	1.03	0.81	0.04	-0.42	-0.64	-1.89
YGR160W	1.23	1.07	0.78	-0.22	-0.21	-1.04	-1.60
YGR162W	0.98	1.05	1.01	-0.11	-0.28	-0.93	-1.72
YGR264C	1.08	1.09	0.70	0.04	-0.05	-1.64	-1.21
YHR046C	0.46	0.43	1.68	0.56	-0.89	-1.41	-0.83
YHR052W	1.25	0.91	0.84	-0.27	0.02	-1.22	-1.53
YHR064C	1.05	1.07	0.73	0.12	-0.15	-1.10	-1.72
YHR070W	1.38	1.09	0.63	-0.58	-0.01	-1.27	-1.25
YHR215W	1.11	1.18	0.89	-0.24	-0.45	-1.56	-0.95
YIL053W	1.19	0.94	0.74	0.11	-0.16	-1.13	-1.69
YIL066C	1.10	0.90	0.84	0.21	-0.15	-1.29	-1.60
YIL091C	1.12	1.00	0.91	-0.12	-0.17	-1.18	-1.57
YJL050W	1.10	1.03	0.99	-0.33	-0.18	-0.99	-1.62
YJL109C	0.91	1.01	0.88	-0.07	0.00	-1.93	-0.81
YJL122W	1.03	0.86	1.09	-0.18	-0.06	-1.03	-1.71
YJR003C	0.83	1.00	1.08	0.06	-0.14	-1.66	-1.17
